# best total_cost=51.5644 on 50 segs
{'FF_GAIN': 0.5862, 'FF_LOOKAHEAD': 3, 'KP': 0.2071, 'KI': 0.0904, 'KD': -0.0214, 'I_CLIP': 3.7411}

# full history (sorted):
51.564  {'FF_GAIN': 0.5862, 'FF_LOOKAHEAD': 3, 'KP': 0.2071, 'KI': 0.0904, 'KD': -0.0214, 'I_CLIP': 3.7411}
51.780  {'FF_GAIN': 0.4651, 'FF_LOOKAHEAD': 2, 'KP': 0.2458, 'KI': 0.0857, 'KD': -0.0992, 'I_CLIP': 3.3179}
53.099  {'FF_GAIN': 0.5836, 'FF_LOOKAHEAD': 4, 'KP': 0.1154, 'KI': 0.1102, 'KD': -0.0147, 'I_CLIP': 3.7962}
54.652  {'FF_GAIN': 0.5147, 'FF_LOOKAHEAD': 3, 'KP': 0.1188, 'KI': 0.0733, 'KD': 0.0172, 'I_CLIP': 3.3271}
54.867  {'FF_GAIN': 0.6192, 'FF_LOOKAHEAD': 3, 'KP': 0.1258, 'KI': 0.1137, 'KD': -0.0403, 'I_CLIP': 2.5879}
55.025  {'FF_GAIN': 0.474, 'FF_LOOKAHEAD': 4, 'KP': 0.1741, 'KI': 0.1072, 'KD': -0.08, 'I_CLIP': 2.1867}
55.570  {'FF_GAIN': 0.4611, 'FF_LOOKAHEAD': 2, 'KP': 0.212, 'KI': 0.0573, 'KD': -0.0609, 'I_CLIP': 3.9821}
55.650  {'FF_GAIN': 0.5025, 'FF_LOOKAHEAD': 4, 'KP': 0.2185, 'KI': 0.1322, 'KD': -0.0387, 'I_CLIP': 2.0329}
56.416  {'FF_GAIN': 0.5531, 'FF_LOOKAHEAD': 1, 'KP': 0.1878, 'KI': 0.0815, 'KD': 0.0122, 'I_CLIP': 3.4476}
57.861  {'FF_GAIN': 0.4837, 'FF_LOOKAHEAD': 2, 'KP': 0.0409, 'KI': 0.087, 'KD': -0.0642, 'I_CLIP': 3.016}
58.607  {'FF_GAIN': 0.5727, 'FF_LOOKAHEAD': 4, 'KP': 0.0914, 'KI': 0.0729, 'KD': 0.0067, 'I_CLIP': 3.8021}
59.658  {'FF_GAIN': 0.5249, 'FF_LOOKAHEAD': 4, 'KP': 0.2396, 'KI': 0.075, 'KD': -0.049, 'I_CLIP': 2.8606}
60.501  {'FF_GAIN': 0.613, 'FF_LOOKAHEAD': 2, 'KP': 0.105, 'KI': 0.0829, 'KD': -0.0287, 'I_CLIP': 3.5449}
60.787  {'FF_GAIN': 0.564, 'FF_LOOKAHEAD': 2, 'KP': 0.1615, 'KI': 0.0576, 'KD': 0.0197, 'I_CLIP': 3.9425}
63.948  {'FF_GAIN': 0.4505, 'FF_LOOKAHEAD': 1, 'KP': 0.0277, 'KI': 0.1094, 'KD': -0.0789, 'I_CLIP': 3.5895}
63.992  {'FF_GAIN': 0.5166, 'FF_LOOKAHEAD': 1, 'KP': 0.0722, 'KI': 0.0935, 'KD': -0.0899, 'I_CLIP': 3.4979}
66.412  {'FF_GAIN': 0.5838, 'FF_LOOKAHEAD': 4, 'KP': 0.0751, 'KI': 0.1315, 'KD': -0.093, 'I_CLIP': 2.0084}
67.593  {'FF_GAIN': 0.5635, 'FF_LOOKAHEAD': 2, 'KP': 0.2329, 'KI': 0.1122, 'KD': 0.0033, 'I_CLIP': 1.7414}
69.305  {'FF_GAIN': 0.5898, 'FF_LOOKAHEAD': 1, 'KP': 0.0734, 'KI': 0.1203, 'KD': 0.0108, 'I_CLIP': 1.7984}
70.048  {'FF_GAIN': 0.5482, 'FF_LOOKAHEAD': 2, 'KP': 0.1585, 'KI': 0.1444, 'KD': -0.0913, 'I_CLIP': 2.4999}
70.440  {'FF_GAIN': 0.5172, 'FF_LOOKAHEAD': 0, 'KP': 0.2209, 'KI': 0.0708, 'KD': 0.0095, 'I_CLIP': 3.2978}
