# best total_cost=43.8675 on 50 segs
{'H': 30, 'W_JERK': 3.45024, 'W_DU': 2.23406, 'W_U': 0.01866, 'D_GAIN': 0.09541}

# full history (sorted):
43.867  {'H': 30, 'W_JERK': 3.45024, 'W_DU': 2.23406, 'W_U': 0.01866, 'D_GAIN': 0.09541}
44.238  {'H': 34, 'W_JERK': 8.15965, 'W_DU': 4.99513, 'W_U': 0.01318, 'D_GAIN': 0.16981}
44.540  {'H': 23, 'W_JERK': 10.18619, 'W_DU': 2.94751, 'W_U': 0.00132, 'D_GAIN': 0.13469}
44.728  {'H': 38, 'W_JERK': 7.45933, 'W_DU': 3.75182, 'W_U': 0.01409, 'D_GAIN': 0.09704}
44.820  {'H': 19, 'W_JERK': 11.02247, 'W_DU': 1.37024, 'W_U': 0.00045, 'D_GAIN': 0.12914}
44.831  {'H': 31, 'W_JERK': 5.11583, 'W_DU': 3.66795, 'W_U': 0.00947, 'D_GAIN': 0.0785}
44.954  {'H': 35, 'W_JERK': 6.78262, 'W_DU': 2.81026, 'W_U': 0.01945, 'D_GAIN': 0.15833}
45.064  {'H': 30, 'W_JERK': 11.68511, 'W_DU': 3.76515, 'W_U': 0.00748, 'D_GAIN': 0.16393}
45.223  {'H': 26, 'W_JERK': 11.98602, 'W_DU': 2.29668, 'W_U': 0.00321, 'D_GAIN': 0.12827}
45.417  {'H': 24, 'W_JERK': 4.38639, 'W_DU': 4.27613, 'W_U': 0.04308, 'D_GAIN': 0.17531}
45.515  {'H': 28, 'W_JERK': 10.19655, 'W_DU': 4.13851, 'W_U': 0.02052, 'D_GAIN': 0.10992}
45.738  {'H': 17, 'W_JERK': 12.8039, 'W_DU': 4.85845, 'W_U': 0.03876, 'D_GAIN': 0.15823}
45.810  {'H': 16, 'W_JERK': 14.30473, 'W_DU': 2.27964, 'W_U': 0.02937, 'D_GAIN': 0.16794}
45.871  {'H': 15, 'W_JERK': 14.11572, 'W_DU': 2.15613, 'W_U': 0.04338, 'D_GAIN': 0.12643}
45.876  {'H': 15, 'W_JERK': 8.15431, 'W_DU': 2.26749, 'W_U': 0.00679, 'D_GAIN': 0.08062}
45.946  {'H': 16, 'W_JERK': 17.49476, 'W_DU': 2.96471, 'W_U': 0.01308, 'D_GAIN': 0.16798}
45.991  {'H': 28, 'W_JERK': 14.61588, 'W_DU': 3.93548, 'W_U': 0.00966, 'D_GAIN': 0.16047}
46.146  {'H': 17, 'W_JERK': 15.80972, 'W_DU': 2.69072, 'W_U': 0.01655, 'D_GAIN': 0.15769}
46.244  {'H': 22, 'W_JERK': 12.18019, 'W_DU': 3.86947, 'W_U': 0.02651, 'D_GAIN': 0.12232}
46.313  {'H': 24, 'W_JERK': 3.28429, 'W_DU': 2.46786, 'W_U': 0.04858, 'D_GAIN': 0.05709}
46.344  {'H': 37, 'W_JERK': 6.9423, 'W_DU': 4.20614, 'W_U': 0.01956, 'D_GAIN': 0.19494}
46.369  {'H': 22, 'W_JERK': 13.59933, 'W_DU': 3.88342, 'W_U': 0.03069, 'D_GAIN': 0.18346}
46.756  {'H': 20, 'W_JERK': 16.70261, 'W_DU': 3.15159, 'W_U': 0.0182, 'D_GAIN': 0.15216}
46.761  {'H': 18, 'W_JERK': 6.45511, 'W_DU': 1.41903, 'W_U': 0.01578, 'D_GAIN': 0.06261}
46.860  {'H': 32, 'W_JERK': 10.16021, 'W_DU': 0.52961, 'W_U': 0.03169, 'D_GAIN': 0.07608}
47.017  {'H': 18, 'W_JERK': 13.28732, 'W_DU': 4.30633, 'W_U': 0.03664, 'D_GAIN': 0.12036}
47.228  {'H': 21, 'W_JERK': 17.20468, 'W_DU': 1.40939, 'W_U': 0.01084, 'D_GAIN': 0.12787}
47.602  {'H': 36, 'W_JERK': 13.90573, 'W_DU': 1.90491, 'W_U': 0.01914, 'D_GAIN': 0.10076}
